group,feature,feature_cn,positive_count,control_count,positive_mean,control_mean,positive_median,control_median,mean_gap,std_diff,abs_std_diff,single_feature_auc,mann_whitney_p
daily_pre,pre_drawdown_from_high_10,相对近10日高点回撤,11,231,-0.033788,-0.021443,-0.029799,-0.018178,-0.012345,-1.014545,1.014545,0.767414,0.002759
daily_pre,pre_close_vs_ma10,收盘相对10日均线偏离,11,231,-0.007264,0.005546,-0.004626,0.004854,-0.012809,-0.960639,0.960639,0.770956,0.002421
daily_pre,pre_close_vs_ma5,收盘相对5日均线偏离,11,231,-0.005495,0.002596,-0.002509,0.003214,-0.008092,-0.918884,0.918884,0.75364,0.004525
daily_pre,pre_drawdown_from_high_20,相对近20日高点回撤,11,231,-0.038475,-0.025766,-0.032944,-0.022989,-0.012709,-0.880603,0.880603,0.758166,0.003856
daily_pre,pre_ret_1d,近1日涨跌幅,11,231,-0.006324,0.001507,-0.005591,0.001333,-0.007831,-0.870918,0.870918,0.720976,0.013393
daily_pre,pre_rsi6,RSI(6),11,231,39.651821,58.294771,36.25,60.31746,-18.64295,-0.809673,0.809673,0.730815,0.009785
daily_pre,pre_ret_5d,近5日涨跌幅,11,231,-0.007083,0.006275,-0.005488,0.007147,-0.013357,-0.746731,0.746731,0.70366,0.022657
daily_pre,pre_ret_3d,近3日涨跌幅,11,231,-0.006445,0.003903,-0.004644,0.004121,-0.010348,-0.732116,0.732116,0.733176,0.00906
daily_pre,pre_down_days_last5,近5日阴线数,11,231,2.727273,2.077922,3.0,2.0,0.649351,0.702978,0.702978,0.674538,0.038332
daily_pre,pre_down_days_last3,近3日阴线数,11,231,1.727273,1.242424,2.0,1.0,0.484848,0.628988,0.628988,0.651712,0.065485
daily_pre,pre_close_vs_ma20,收盘相对20日均线偏离,11,231,-0.00125,0.010504,-0.002825,0.00921,-0.011754,-0.609268,0.609268,0.669815,0.057428
daily_pre,pre_drawdown_from_high_5,相对近5日高点回撤,11,231,-0.02407,-0.017922,-0.023749,-0.014869,-0.006148,-0.602523,0.602523,0.736521,0.008114
daily_pre,pre_low_vs_ma20,最低价相对20日均线偏离,11,231,-0.006965,0.003525,-0.006634,0.002251,-0.01049,-0.570326,0.570326,0.662731,0.068655
daily_pre,pre_vol_ratio_5,成交量相对5日均量变化,11,231,0.034937,0.008602,-0.101031,-0.049022,0.026335,0.087648,0.087648,0.508461,0.926239
daily_pre,pre_volatility_5,近5日收益波动率,11,231,0.0085,0.008337,0.010192,0.007674,0.000162,0.038467,0.038467,0.523022,0.79819
daily_pre,pre_volatility_10,近10日收益波动率,11,231,0.008643,0.008549,0.008796,0.008322,9.4e-05,0.027583,0.027583,0.513577,0.880854
