rule_name,rule_label,fill_mode,horizon_days,strategy_trade_count,month_count,win_rate,avg_return,median_return,compounded_return,min_return,avg_mae,worst_mae,avg_max_drawdown
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,13,9,0.769231,0.008163,0.010337,0.110589,-0.015148,-0.009378,-0.027164,-0.018627
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,10,8,0.8,0.013258,0.013532,0.139639,-0.014929,-0.011476,-0.031833,-0.020845
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,8,8,0.625,0.02158,0.02099,0.183065,-0.010601,-0.013059,-0.031833,-0.027128
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,7,7,0.714286,0.039883,0.038276,0.307931,-0.007574,-0.014155,-0.031833,-0.033132
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,13,9,0.846154,0.007507,0.009222,0.100979,-0.025984,-0.009391,-0.042183,-0.020288
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,10,8,0.7,0.004328,0.004648,0.042714,-0.024989,-0.01307,-0.042183,-0.024041
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,8,8,0.75,0.020133,0.022477,0.169978,-0.019896,-0.015455,-0.042183,-0.02814
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,7,7,1.0,0.037317,0.029132,0.28772,0.000986,-0.01683,-0.042183,-0.036064
intraday_weak_low,盘中弱势低位预警,next_open,3,15,9,0.8,0.006759,0.010129,0.105213,-0.015148,-0.010036,-0.028154,-0.019844
intraday_weak_low,盘中弱势低位预警,next_open,5,11,8,0.727273,0.009637,0.00956,0.109848,-0.014929,-0.01297,-0.031833,-0.02245
intraday_weak_low,盘中弱势低位预警,next_open,10,9,9,0.666667,0.020756,0.017934,0.199829,-0.010601,-0.012744,-0.031833,-0.026126
intraday_weak_low,盘中弱势低位预警,next_open,20,7,7,0.857143,0.041657,0.038276,0.324187,-0.007574,-0.013479,-0.031833,-0.033132
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,15,9,0.866667,0.006029,0.006045,0.093111,-0.028519,-0.010664,-0.044676,-0.020491
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,11,8,0.636364,0.003751,0.004454,0.040366,-0.025843,-0.014063,-0.044676,-0.024684
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,9,9,0.666667,0.018855,0.023196,0.179665,-0.022446,-0.015157,-0.044676,-0.02721
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,7,7,1.0,0.036126,0.028953,0.277157,0.00011,-0.017425,-0.044676,-0.036064
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,10,8,0.8,0.009207,0.011274,0.09533,-0.015148,-0.008038,-0.025467,-0.017545
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,9,8,0.888889,0.015633,0.00956,0.148437,-0.014929,-0.009514,-0.031833,-0.019458
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,6,6,0.5,0.012508,0.008748,0.076388,-0.00951,-0.014041,-0.031833,-0.028903
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,6,6,0.666667,0.03962,0.026749,0.255615,-0.007574,-0.014041,-0.031833,-0.03386
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,10,8,0.9,0.01114,0.010952,0.116732,-0.000333,-0.007861,-0.018494,-0.017911
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,9,8,0.888889,0.010213,0.006907,0.094176,-0.024561,-0.010838,-0.032895,-0.02142
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,6,6,0.666667,0.012847,0.005507,0.07879,-0.001908,-0.015362,-0.032895,-0.027356
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,6,6,1.0,0.037717,0.025717,0.244327,0.001425,-0.015362,-0.032895,-0.034385
