rule_name,rule_label,entry_offset_bars,signal_date,signal_time,signal_price,signal_low_so_far,entry_idx,entry_time,entry_date,entry_price
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250527,20250527131000,3.74,3.729,939,20250527132000,20250527,3.737
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250801,20250801131000,4.017,4.015,3195,20250801132000,20250801,4.01
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251020,20251020143000,4.51,4.502,5611,20251020144000,20251020,4.506
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251118,20251118132500,4.56,4.558,6606,20251118133500,20251118,4.557
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251120,20251120143500,4.563,4.56,6716,20251120144500,20251120,4.568
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251120,20251120143500,4.563,4.56,6717,20251120145000,20251120,4.563
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260122,20260122144500,4.717,4.703,8782,20260122145500,20260122,4.723
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260123,20260123144500,4.704,4.687,8830,20260123145500,20260123,4.703
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260123,20260123144500,4.704,4.687,8831,20260123150000,20260123,4.701
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260202,20260202131000,4.657,4.647,9099,20260202132000,20260202,4.651
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260202,20260202131000,4.657,4.647,9100,20260202132500,20260202,4.639
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260323,20260323130500,4.488,4.468,10490,20260323131500,20260323,4.475
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260326,20260326132000,4.504,4.502,10637,20260326133000,20260326,4.496
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260326,20260326132000,4.504,4.502,10638,20260326133500,20260326,4.497
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260403,20260403131500,4.456,4.455,10924,20260403132500,20260403,4.451
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260403,20260403131500,4.456,4.455,10925,20260403133000,20260403,4.451
