rule_name,rule_label,signal_date,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,day_close_in_range,day_return,m5_low_pos_ratio,m5_volume_ratio_after_low,pre_close_vs_ma5
stat_core,统计核心规则,20250527,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,20250801,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,20251118,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,20251120,-0.031057,-0.013118,32.8125,0.053571,-0.004591,0.957447,0.535852,
stat_core,统计核心规则,20251121,-0.032121,-0.014907,28.909953,0.021739,-0.024599,1.0,0.0,
stat_core,统计核心规则,20251127,-0.047101,-0.00887,37.219731,0.071429,-0.000888,0.978723,1.707972,
stat_core,统计核心规则,20260122,-0.027468,-0.003959,22.077922,0.421053,-0.000634,0.489362,0.019236,
stat_core,统计核心规则,20260123,-0.028707,-0.004318,34.0,0.309091,-0.004866,0.914894,0.749906,
stat_core,统计核心规则,20260202,-0.028667,-0.002942,44.594595,0.070312,-0.023562,0.978723,-0.067215,
stat_core,统计核心规则,20260320,-0.031706,-0.014106,12.666667,0.048387,-0.005001,1.0,0.0,
stat_core,统计核心规则,20260323,-0.033397,-0.017119,12.179487,0.183206,-0.031906,0.957447,1.219742,
stat_core,统计核心规则,20260326,-0.047981,-0.011895,35.911602,0.157143,-0.012324,0.914894,0.288999,
stat_core,统计核心规则,20260331,-0.058761,-0.009509,38.953488,0.014925,-0.008222,1.0,0.0,
stat_core,统计核心规则,20260403,-0.035599,-0.002688,38.396624,0.133333,-0.007797,0.595745,-0.022129,
stat_balanced,统计平衡规则,20250527,-0.028534,,,0.233333,-0.005591,0.723404,0.254312,-0.008395
stat_balanced,统计平衡规则,20250801,-0.029696,,,0.340909,-0.005456,0.659574,0.361784,-0.012926
stat_balanced,统计平衡规则,20250904,-0.027212,,,0.28777,-0.021012,0.914894,0.07301,-0.007623
stat_balanced,统计平衡规则,20251014,-0.050923,,,0.208333,-0.010287,0.93617,-0.067949,-0.010225
stat_balanced,统计平衡规则,20251118,-0.028292,,,0.358491,-0.005886,0.893617,1.323224,-0.010399
stat_balanced,统计平衡规则,20251120,-0.031057,,,0.053571,-0.004591,0.957447,0.535852,-0.006861
stat_balanced,统计平衡规则,20251121,-0.032121,,,0.021739,-0.024599,1.0,0.0,-0.005548
stat_balanced,统计平衡规则,20260116,-0.025196,,,0.259259,-0.003367,0.787234,0.269144,-0.002519
stat_balanced,统计平衡规则,20260122,-0.027468,,,0.421053,-0.000634,0.489362,0.019236,-0.001267
stat_balanced,统计平衡规则,20260123,-0.028707,,,0.309091,-0.004866,0.914894,0.749906,-0.000845
stat_balanced,统计平衡规则,20260202,-0.028667,,,0.070312,-0.023562,0.978723,-0.067215,-0.003005
stat_balanced,统计平衡规则,20260317,-0.025047,,,0.011628,-0.007265,1.0,0.0,-0.001919
stat_balanced,统计平衡规则,20260320,-0.031706,,,0.048387,-0.005001,1.0,0.0,-0.011563
stat_balanced,统计平衡规则,20260323,-0.033397,,,0.183206,-0.031906,0.957447,1.219742,-0.012218
stat_balanced,统计平衡规则,20260331,-0.058761,,,0.014925,-0.008222,1.0,0.0,-0.000844
stat_balanced,统计平衡规则,20260403,-0.035599,,,0.133333,-0.007797,0.595745,-0.022129,-0.002178
daily_weak_low,日线弱势低位规则,20250527,-0.028534,-0.009128,38.297872,0.233333,-0.005591,,,
daily_weak_low,日线弱势低位规则,20250528,-0.032944,-0.013419,33.027523,0.222222,-0.001071,,,
daily_weak_low,日线弱势低位规则,20250801,-0.029696,-0.009896,36.25,0.340909,-0.005456,,,
daily_weak_low,日线弱势低位规则,20251118,-0.028292,-0.012104,29.468599,0.358491,-0.005886,,,
daily_weak_low,日线弱势低位规则,20251120,-0.031057,-0.013118,32.8125,0.053571,-0.004591,,,
daily_weak_low,日线弱势低位规则,20251121,-0.032121,-0.014907,28.909953,0.021739,-0.024599,,,
daily_weak_low,日线弱势低位规则,20251127,-0.047101,-0.00887,37.219731,0.071429,-0.000888,,,
daily_weak_low,日线弱势低位规则,20251216,-0.044051,-0.003662,39.735099,0.287879,-0.010343,,,
daily_weak_low,日线弱势低位规则,20260121,-0.031805,-0.006227,12.5,0.381818,0.00127,,,
daily_weak_low,日线弱势低位规则,20260122,-0.027468,-0.003959,22.077922,0.421053,-0.000634,,,
daily_weak_low,日线弱势低位规则,20260123,-0.028707,-0.004318,34.0,0.309091,-0.004866,,,
daily_weak_low,日线弱势低位规则,20260126,-0.032012,-0.007951,12.5,0.272727,0.001701,,,
daily_weak_low,日线弱势低位规则,20260202,-0.028667,-0.002942,44.594595,0.070312,-0.023562,,,
daily_weak_low,日线弱势低位规则,20260320,-0.031706,-0.014106,12.666667,0.048387,-0.005001,,,
daily_weak_low,日线弱势低位规则,20260323,-0.033397,-0.017119,12.179487,0.183206,-0.031906,,,
daily_weak_low,日线弱势低位规则,20260326,-0.047981,-0.011895,35.911602,0.157143,-0.012324,,,
daily_weak_low,日线弱势低位规则,20260331,-0.058761,-0.009509,38.953488,0.014925,-0.008222,,,
daily_weak_low,日线弱势低位规则,20260403,-0.035599,-0.002688,38.396624,0.133333,-0.007797,,,
