entry_date,entry_low,entry_close,entry_price,exit_date,exit_close,exit_high,exit_price,holding_trade_days,return_pct,mae_pct,mfe_pct,max_drawdown_pct,risk_pct,return_risk_ratio,entry_idx,exit_idx,return_rank_pct,risk_low_rank_pct,ratio_rank_pct,quality_score
20250430,3.653,3.655,3.654,20250513,3.783,3.801,3.792,7,0.037767,-0.000274,0.04023,-0.013863,0.013863,2.724296,3,9,0.7743086529884032,0.8965209634255129,0.9259589652096343,0.85035682426405
20250528,3.727,3.731,3.729,20250625,3.878,3.88,3.879,20,0.040225,-0.002145,0.040493,-0.019407,0.019407,2.072688,20,39,0.8025572405590247,0.6135890573892357,0.84061849539102,0.766733571216176
20250716,3.933,3.946,3.9395,20250730,4.109,4.142,4.1255,11,0.047214,-0.00165,0.051402,-0.014951,0.014951,3.157928,54,64,0.856378233719893,0.852066607195956,0.9649122807017544,0.8878605411834671
20250801,3.995,4.01,4.0025,20250825,4.442,4.449,4.4455,17,0.110681,-0.002124,0.111555,-0.025224,0.025224,4.387992,66,82,0.9994052928932501,0.49806720190306275,0.9994052928932501,0.8740707701457033
20250904,4.293,4.333,4.313,20251009,4.693,4.713,4.703,20,0.090424,-0.004637,0.092743,-0.031945,0.031945,2.830592,90,109,0.9860243829913767,0.31385667558727326,0.9375557537912578,0.8034418673803152
20251020,4.501,4.517,4.509,20251029,4.739,4.741,4.74,8,0.051231,-0.001774,0.051453,-0.017609,0.017609,2.909408,116,123,0.8807612250966399,0.7176628010704728,0.9458816532857568,0.8595227475468332
20251124,4.41,4.434,4.422,20251208,4.609,4.631,4.62,11,0.044776,-0.002714,0.047264,-0.015601,0.015601,2.870086,141,151,0.84061849539102,0.8157894736842105,0.9411239964317574,0.8645628902765388
20251218,4.538,4.545,4.5415,20260106,4.796,4.797,4.7965,12,0.056149,-0.000771,0.056259,-0.015009,0.015009,3.740917,159,170,0.9069283377936367,0.8409158489443949,0.9925661611656259,0.9161165625929231
20260127,4.679,4.71,4.6945,20260129,4.768,4.779,4.7735,3,0.016828,-0.003302,0.018,-0.015694,0.015694,1.072293,185,187,0.3975617008623253,0.8101397561700863,0.5851917930419268,0.556995242343146
20260206,4.61,4.649,4.6295,20260225,4.75,4.778,4.764,8,0.029053,-0.004212,0.032077,-0.017267,0.017267,1.682552,193,200,0.6425810288432947,0.7749033600951531,0.7686589354742789,0.7134849836455546
20260331,4.462,4.463,4.4625,20260423,4.801,4.834,4.8175,17,0.079552,-0.007059,0.083249,-0.024439,0.024439,3.255175,224,240,0.9735355337496283,0.523788284269997,0.9723461195361285,0.8607418971156706
