month,trading_days,required_holding_days,entry_signal_count,holding_days,status,selected_entry_date,selected_exit_date
202504,4,3,1,1,新增当月最佳信号,20250430,20250513
202505,19,10,1,3,新增当月最佳信号,20250528,20250625
202506,20,11,0,17,已满足,,
202507,23,12,1,11,新增当月最佳信号,20250716,20250730
202508,21,11,1,17,新增当月最佳信号,20250801,20250825
202509,22,12,1,19,新增当月最佳信号,20250904,20251009
202510,17,9,1,8,新增当月最佳信号,20251020,20251029
202511,20,11,1,5,新增当月最佳信号,20251124,20251208
202512,23,12,1,10,新增当月最佳信号,20251218,20260106
202601,20,11,1,3,新增当月最佳信号,20260127,20260129
202602,14,8,1,8,新增当月最佳信号,20260206,20260225
202603,22,12,1,1,新增当月最佳信号,20260331,20260423
202604,17,9,0,16,已满足,,
